ID_CLIENTE,SAFRA_REF,INADIMPLENTE
5058298901476893676,2021-07,0.46%
274692171162531764,2021-07,3.64%
274692171162531764,2021-07,3.64%
274692171162531764,2021-07,2.18%
465309249432033993,2021-07,0.73%
465309249432033993,2021-07,0.85%
465309249432033993,2021-07,0.85%
465309249432033993,2021-07,0.85%
5883155883105348987,2021-07,3.89%
5883155883105348987,2021-07,5.69%
4489904752023469353,2021-07,0.20%
3355881107559250653,2021-07,0.99%
3355881107559250653,2021-07,0.99%
3355881107559250653,2021-07,0.76%
3355881107559250653,2021-07,1.31%
3355881107559250653,2021-07,13.62%
3355881107559250653,2021-07,0.99%
3355881107559250653,2021-07,0.99%
6330043096034525408,2021-07,1.60%
6330043096034525408,2021-07,1.07%
6964108750473070287,2021-07,0.64%
6964108750473070287,2021-07,3.38%
6964108750473070287,2021-07,0.12%
6964108750473070287,2021-07,0.64%
6964108750473070287,2021-07,0.64%
6964108750473070287,2021-07,0.26%
6964108750473070287,2021-07,0.31%
6964108750473070287,2021-07,0.43%
6964108750473070287,2021-07,0.13%
6964108750473070287,2021-07,0.43%
6964108750473070287,2021-07,0.13%
6964108750473070287,2021-07,0.11%
6964108750473070287,2021-07,3.67%
6964108750473070287,2021-07,0.46%
6964108750473070287,2021-07,0.49%
6964108750473070287,2021-07,5.73%
4008627434689715639,2021-07,24.22%
4008627434689715639,2021-07,8.02%
4008627434689715639,2021-07,19.27%
5757271354816214865,2021-07,20.91%
5757271354816214865,2021-07,60.25%
5757271354816214865,2021-07,10.99%
5757271354816214865,2021-07,20.19%
5757271354816214865,2021-07,20.19%
5757271354816214865,2021-07,31.81%
5757271354816214865,2021-07,7.53%
5757271354816214865,2021-07,13.02%
5757271354816214865,2021-07,22.95%
5757271354816214865,2021-07,14.21%
5757271354816214865,2021-07,12.45%
5757271354816214865,2021-07,69.34%
5757271354816214865,2021-07,6.52%
5757271354816214865,2021-07,21.07%
5757271354816214865,2021-07,21.07%
8909740532547211288,2021-07,0.22%
8909740532547211288,2021-07,0.22%
8909740532547211288,2021-07,0.22%
4045739494965095560,2021-07,0.39%
4045739494965095560,2021-07,0.39%
